line,season,direction,train_number,station_order,station,time,valid_from,valid_to,service_code
E,hiver_2025_2026,Tunis→Bougatfa,415,1,Tunis,06:30,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,415,2,Sayda Manoubia,06:34,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,415,3,Ennajeh,06:36,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,415,4,Etayaran,06:39,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,415,5,Ezzouhour 2,06:41,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,415,6,El Hrayria,06:43,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,415,7,Bougatfa,06:45,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,417,1,Tunis,06:40,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,417,2,Sayda Manoubia,06:44,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,417,3,Ennajeh,06:46,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,417,4,Etayaran,06:49,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,417,5,Ezzouhour 2,06:51,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,417,6,El Hrayria,06:53,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,417,7,Bougatfa,06:55,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,419,1,Tunis,07:00,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,419,2,Sayda Manoubia,07:04,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,419,3,Ennajeh,07:06,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,419,4,Etayaran,07:09,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,419,5,Ezzouhour 2,07:11,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,419,6,El Hrayria,07:13,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,419,7,Bougatfa,07:15,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,421,1,Tunis,07:20,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,421,2,Sayda Manoubia,07:24,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,421,3,Ennajeh,07:26,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,421,4,Etayaran,07:29,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,421,5,Ezzouhour 2,07:31,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,421,6,El Hrayria,07:33,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,421,7,Bougatfa,07:35,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,423,1,Tunis,07:25,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,423,2,Sayda Manoubia,07:29,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,423,3,Ennajeh,07:31,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,423,4,Etayaran,07:34,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,423,5,Ezzouhour 2,07:36,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,423,6,El Hrayria,07:38,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,423,7,Bougatfa,07:40,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,425,1,Tunis,07:40,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,425,2,Sayda Manoubia,07:44,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,425,3,Ennajeh,07:46,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,425,4,Etayaran,07:49,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,425,5,Ezzouhour 2,07:51,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,425,6,El Hrayria,07:53,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,425,7,Bougatfa,07:55,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,427,1,Tunis,08:00,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,427,2,Sayda Manoubia,08:04,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,427,3,Ennajeh,08:06,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,427,4,Etayaran,08:09,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,427,5,Ezzouhour 2,08:11,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,427,6,El Hrayria,08:13,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,427,7,Bougatfa,08:15,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,429,1,Tunis,08:20,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,429,2,Sayda Manoubia,08:24,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,429,3,Ennajeh,08:26,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,429,4,Etayaran,08:29,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,429,5,Ezzouhour 2,08:31,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,429,6,El Hrayria,08:33,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,429,7,Bougatfa,08:35,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,431,1,Tunis,08:30,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,431,2,Sayda Manoubia,08:34,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,431,3,Ennajeh,08:36,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,431,4,Etayaran,08:39,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,431,5,Ezzouhour 2,08:41,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,431,6,El Hrayria,08:43,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,431,7,Bougatfa,08:45,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,433,1,Tunis,08:40,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,433,2,Sayda Manoubia,08:44,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,433,3,Ennajeh,08:46,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,433,4,Etayaran,08:49,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,433,5,Ezzouhour 2,08:51,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,433,6,El Hrayria,08:53,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,433,7,Bougatfa,08:55,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,435,1,Tunis,09:00,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,435,2,Sayda Manoubia,09:04,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,435,3,Ennajeh,09:06,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,435,4,Etayaran,09:09,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,435,5,Ezzouhour 2,09:11,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,435,6,El Hrayria,09:13,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,435,7,Bougatfa,09:15,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,437,1,Tunis,09:20,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,437,2,Sayda Manoubia,09:24,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,437,3,Ennajeh,09:26,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,437,4,Etayaran,09:29,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,437,5,Ezzouhour 2,09:31,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,437,6,El Hrayria,09:33,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,437,7,Bougatfa,09:35,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,439,1,Tunis,09:25,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,439,2,Sayda Manoubia,09:29,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,439,3,Ennajeh,09:31,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,439,4,Etayaran,09:34,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,439,5,Ezzouhour 2,09:36,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,439,6,El Hrayria,09:38,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,439,7,Bougatfa,09:40,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,441,1,Tunis,09:40,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,441,2,Sayda Manoubia,09:44,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,441,3,Ennajeh,09:46,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,441,4,Etayaran,09:49,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,441,5,Ezzouhour 2,09:51,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,441,6,El Hrayria,09:53,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,441,7,Bougatfa,09:55,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,443,1,Tunis,10:00,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,443,2,Sayda Manoubia,10:04,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,443,3,Ennajeh,10:06,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,443,4,Etayaran,10:09,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,443,5,Ezzouhour 2,10:11,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,443,6,El Hrayria,10:13,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,443,7,Bougatfa,10:15,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,445,1,Tunis,10:20,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,445,2,Sayda Manoubia,10:24,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,445,3,Ennajeh,10:26,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,445,4,Etayaran,10:29,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,445,5,Ezzouhour 2,10:31,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,445,6,El Hrayria,10:33,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,445,7,Bougatfa,10:35,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,447,1,Tunis,10:30,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,447,2,Sayda Manoubia,10:34,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,447,3,Ennajeh,10:36,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,447,4,Etayaran,10:39,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,447,5,Ezzouhour 2,10:41,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,447,6,El Hrayria,10:43,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,447,7,Bougatfa,10:45,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,449,1,Tunis,10:40,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,449,2,Sayda Manoubia,10:44,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,449,3,Ennajeh,10:46,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,449,4,Etayaran,10:49,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,449,5,Ezzouhour 2,10:51,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,449,6,El Hrayria,10:53,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,449,7,Bougatfa,10:55,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,451,1,Tunis,11:00,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,451,2,Sayda Manoubia,11:04,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,451,3,Ennajeh,11:06,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,451,4,Etayaran,11:09,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,451,5,Ezzouhour 2,11:11,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,451,6,El Hrayria,11:13,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,451,7,Bougatfa,11:15,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,453,1,Tunis,11:20,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,453,2,Sayda Manoubia,11:24,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,453,3,Ennajeh,11:26,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,453,4,Etayaran,11:29,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,453,5,Ezzouhour 2,11:31,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,453,6,El Hrayria,11:33,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,453,7,Bougatfa,11:35,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,455,1,Tunis,11:25,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,455,2,Sayda Manoubia,11:29,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,455,3,Ennajeh,11:31,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,455,4,Etayaran,11:34,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,455,5,Ezzouhour 2,11:36,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,455,6,El Hrayria,11:38,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,455,7,Bougatfa,11:40,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,457,1,Tunis,11:40,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,457,2,Sayda Manoubia,11:44,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,457,3,Ennajeh,11:46,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,457,4,Etayaran,11:49,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,457,5,Ezzouhour 2,11:51,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,457,6,El Hrayria,11:53,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,457,7,Bougatfa,11:55,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,459,1,Tunis,12:00,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,459,2,Sayda Manoubia,12:04,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,459,3,Ennajeh,12:06,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,459,4,Etayaran,12:09,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,459,5,Ezzouhour 2,12:11,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,459,6,El Hrayria,12:13,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,459,7,Bougatfa,12:15,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,461,1,Tunis,12:20,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,461,2,Sayda Manoubia,12:24,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,461,3,Ennajeh,12:26,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,461,4,Etayaran,12:29,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,461,5,Ezzouhour 2,12:31,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,461,6,El Hrayria,12:33,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,461,7,Bougatfa,12:35,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,463,1,Tunis,12:30,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,463,2,Sayda Manoubia,12:34,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,463,3,Ennajeh,12:36,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,463,4,Etayaran,12:39,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,463,5,Ezzouhour 2,12:41,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,463,6,El Hrayria,12:43,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,463,7,Bougatfa,12:45,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,465,1,Tunis,12:40,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,465,2,Sayda Manoubia,12:44,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,465,3,Ennajeh,12:46,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,465,4,Etayaran,12:49,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,465,5,Ezzouhour 2,12:51,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,465,6,El Hrayria,12:53,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,465,7,Bougatfa,12:55,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,467,1,Tunis,13:00,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,467,2,Sayda Manoubia,13:04,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,467,3,Ennajeh,13:06,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,467,4,Etayaran,13:09,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,467,5,Ezzouhour 2,13:11,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,467,6,El Hrayria,13:13,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,467,7,Bougatfa,13:15,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,469,1,Tunis,13:20,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,469,2,Sayda Manoubia,13:24,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,469,3,Ennajeh,13:26,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,469,4,Etayaran,13:29,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,469,5,Ezzouhour 2,13:31,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,469,6,El Hrayria,13:33,2025-09-01,2026-06-30,all
